Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr25,Pcp9,Dropped truck from pickup plan,2024-05-06 13:30:08
tr4,Pcp9,Dropped truck from pickup plan,2024-05-06 13:31:21
tr8,Pcp9,Dropped truck from pickup plan,2024-05-06 13:42:24
Silo11,tr20,Aranged silo for truck,2024-05-06 13:45:41
tr10,Pcp6,Dropped truck from pickup plan,2024-05-06 13:58:08
tr12,Pcp6,Dropped truck from pickup plan,2024-05-06 14:24:09
tr40,Pcp9,Dropped truck from pickup plan,2024-05-06 14:43:24
Silo17,tr14,Aranged silo for truck,2024-05-06 14:47:37
Silo19,tr37,Aranged silo for truck,2024-05-06 15:18:48
tr6,Pcp8,Assigned truck for pickup plan,2024-05-06 15:27:46
tr34,Pcp3,Assigned truck for pickup plan,2024-05-06 15:32:47
tr25,Pcp3,Assigned truck for pickup plan,2024-05-06 15:34:24
tr8,Pcp2,Assigned truck for pickup plan,2024-05-06 15:46:35
Silo18,tr15,Aranged silo for truck,2024-05-06 15:56:19
tr33,Pcp9,Dropped truck from pickup plan,2024-05-06 15:56:37
Silo7,tr46,Aranged silo for truck,2024-05-06 15:56:59
tr21,Pcp10,Assigned truck for pickup plan,2024-05-06 16:08:51
tr10,Pcp2,Assigned truck for pickup plan,2024-05-06 16:22:21
tr12,Pcp6,Assigned truck for pickup plan,2024-05-06 16:23:40
Silo10,tr23,Aranged silo for truck,2024-05-06 16:24:46
tr1,Pcp4,Assigned truck for pickup plan,2024-05-06 16:28:57
Silo8,tr32,Aranged silo for truck,2024-05-06 16:47:23
Silo6,tr3,Aranged silo for truck,2024-05-06 16:48:20
tr27,Pcp3,Assigned truck for pickup plan,2024-05-06 16:48:53
tr45,Pcp6,Dropped truck from pickup plan,2024-05-06 16:52:35
tr9,Pcp3,Assigned truck for pickup plan,2024-05-06 17:11:49
tr4,Pcp4,Assigned truck for pickup plan,2024-05-06 17:29:15
Silo6,tr2,Aranged silo for truck,2024-05-06 17:36:39
tr26,Pcp9,Dropped truck from pickup plan,2024-05-06 17:47:39
tr40,Pcp7,Assigned truck for pickup plan,2024-05-06 17:56:28
tr31,Pcp9,Dropped truck from pickup plan,2024-05-06 19:01:02
tr42,Pcp8,Assigned truck for pickup plan,2024-05-06 19:01:22
Silo19,tr7,Aranged silo for truck,2024-05-07 07:55:10
tr17,Pcp9,Dropped truck from pickup plan,2024-05-07 07:56:31
tr28,Pcp9,Dropped truck from pickup plan,2024-05-07 09:18:19
tr26,Pcp2,Assigned truck for pickup plan,2024-05-07 09:42:33
tr45,Pcp1,Assigned truck for pickup plan,2024-05-07 09:46:39
tr49,Pcp6,Dropped truck from pickup plan,2024-05-07 09:52:49
tr33,Pcp4,Assigned truck for pickup plan,2024-05-07 10:12:48
tr43,Pcp7,Assigned truck for pickup plan,2024-05-07 10:18:04
tr17,Pcp5,Assigned truck for pickup plan,2024-05-07 10:29:11
Silo18,tr47,Aranged silo for truck,2024-05-07 11:11:27
tr29,Pcp9,Dropped truck from pickup plan,2024-05-07 11:17:34
tr30,Pcp1,Assigned truck for pickup plan,2024-05-07 11:38:30
tr50,Pcp6,Dropped truck from pickup plan,2024-05-07 11:54:46
tr28,Pcp6,Assigned truck for pickup plan,2024-05-07 11:59:08
Silo6,tr11,Aranged silo for truck,2024-05-07 13:19:49
tr38,Pcp6,Assigned truck for pickup plan,2024-05-07 13:44:35
tr29,Pcp1,Assigned truck for pickup plan,2024-05-07 13:55:51
tr31,Pcp1,Assigned truck for pickup plan,2024-05-07 14:13:22
tr36,Pcp9,Dropped truck from pickup plan,2024-05-07 14:35:53
