ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 16:47:53
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 16:47:53
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 16:51:11
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 16:51:11
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 16:51:11
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 16:51:11
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 16:51:11
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 17:08:02
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 17:08:02
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 17:08:02
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 17:08:02
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 17:08:02
WS03;tr19;Weight sensor measuring empty truck weight;2024-05-02 17:23:29
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 17:47:40
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 17:47:40
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 17:47:40
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 17:47:40
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 17:47:40
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 18:55:10
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 18:55:10
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 18:55:10
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 18:55:10
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 18:55:10
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 07:19:20
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 07:19:20
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 07:19:20
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 07:19:20
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 07:19:20
WS05;tr22;Weight sensor measuring empty truck weight;2024-05-03 08:49:52
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 08:50:51
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 08:50:51
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 08:50:51
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 08:50:51
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 08:50:51
WS20;tr24;Weight sensor measuring empty truck weight;2024-05-03 09:21:56
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-03 10:07:42
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-03 10:07:42
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-03 10:07:42
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-03 10:07:42
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-03 10:07:42
WS11;tr34;Weight sensor measuring empty truck weight;2024-05-03 10:30:37
