Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr17,Pcp8,Assigned truck for pickup plan,2024-05-07 11:29:48
tr7,Pcp8,Assigned truck for pickup plan,2024-05-07 11:43:22
tr36,Pcp8,Dropped truck from pickup plan,2024-05-07 11:56:28
tr16,Pcp3,Dropped truck from pickup plan,2024-05-07 12:09:08
tr25,Pcp5,Assigned truck for pickup plan,2024-05-07 14:29:23
tr36,Pcp10,Assigned truck for pickup plan,2024-05-07 14:51:04
tr16,Pcp10,Assigned truck for pickup plan,2024-05-07 15:03:59
tr10,Pcp10,Dropped truck from pickup plan,2024-05-07 15:43:24
tr37,Pcp6,Dropped truck from pickup plan,2024-05-07 15:44:00
tr48,Pcp9,Dropped truck from pickup plan,2024-05-07 15:50:31
tr3,Pcp2,Dropped truck from pickup plan,2024-05-07 15:50:57
tr49,Pcp8,Dropped truck from pickup plan,2024-05-07 15:57:20
tr44,Pcp2,Dropped truck from pickup plan,2024-05-07 16:18:43
tr18,Pcp6,Dropped truck from pickup plan,2024-05-07 16:24:59
tr26,Pcp3,Dropped truck from pickup plan,2024-05-07 17:26:00
tr40,Pcp10,Assigned truck for pickup plan,2024-05-07 17:38:38
tr6,Pcp6,Dropped truck from pickup plan,2024-05-08 07:37:23
tr50,Pcp1,Dropped truck from pickup plan,2024-05-08 07:54:12
tr21,Pcp10,Dropped truck from pickup plan,2024-05-08 08:39:59
tr37,Pcp1,Assigned truck for pickup plan,2024-05-08 09:02:07
tr48,Pcp5,Assigned truck for pickup plan,2024-05-08 09:03:31
tr15,Pcp1,Dropped truck from pickup plan,2024-05-08 09:34:30
tr20,Pcp2,Dropped truck from pickup plan,2024-05-08 09:44:51
tr18,Pcp9,Assigned truck for pickup plan,2024-05-08 09:51:28
tr49,Pcp7,Assigned truck for pickup plan,2024-05-08 09:58:42
tr3,Pcp9,Assigned truck for pickup plan,2024-05-08 10:16:13
tr14,Pcp1,Dropped truck from pickup plan,2024-05-08 10:31:25
tr42,Pcp3,Dropped truck from pickup plan,2024-05-08 10:39:46
tr26,Pcp9,Assigned truck for pickup plan,2024-05-08 10:50:39
tr10,Pcp5,Assigned truck for pickup plan,2024-05-08 10:52:38
tr50,Pcp10,Assigned truck for pickup plan,2024-05-08 11:02:03
tr15,Pcp9,Assigned truck for pickup plan,2024-05-08 11:12:10
tr21,Pcp5,Assigned truck for pickup plan,2024-05-08 11:46:56
tr11,Pcp1,Dropped truck from pickup plan,2024-05-08 11:55:16
tr20,Pcp7,Assigned truck for pickup plan,2024-05-08 12:28:51
tr35,Pcp2,Dropped truck from pickup plan,2024-05-08 13:26:51
tr6,Pcp9,Assigned truck for pickup plan,2024-05-08 14:10:35
