ocel_event_id;ocel_object_id;ocel_qualifier
input_tally_sheettr44;tr44;Tally Sheet for pickup plan
print_w_tickettr44;tr44;Printed weighing ticket for pickup plan
input_tally_sheettr11;tr11;Tally Sheet for pickup plan
print_w_tickettr11;tr11;Printed weighing ticket for pickup plan
eval_trs_exittr44_Pcp1;tr44;Exit evaluation for truck
weigh_loaded_trucktr2;tr2;Truck weighed
eval_trs_exittr11_Pcp6;tr11;Exit evaluation for truck
print_w_tickettr42;tr42;Printed weighing ticket for pickup plan
input_tally_sheettr42;tr42;Tally Sheet for pickup plan
weigh_loaded_trucktr25;tr25;Truck weighed
input_tally_sheettr32;tr32;Tally Sheet for pickup plan
print_w_tickettr32;tr32;Printed weighing ticket for pickup plan
eval_trs_exittr42_Pcp6;tr42;Exit evaluation for truck
assign_trs_Pcp2;tr20;Pickup plan trucks assignment
assign_trs_Pcp2;tr7;Pickup plan trucks assignment
eval_trs_exittr32_Pcp6;tr32;Exit evaluation for truck
weigh_loaded_trucktr15;tr15;Truck weighed
assign_trs_Pcp8;tr36;Pickup plan trucks assignment
print_w_tickettr46;tr46;Printed weighing ticket for pickup plan
input_tally_sheettr46;tr46;Tally Sheet for pickup plan
weigh_loaded_trucktr4;tr4;Truck weighed
assign_trs_Pcp3;tr16;Pickup plan trucks assignment
input_tally_sheettr4;tr4;Tally Sheet for pickup plan
print_w_tickettr4;tr4;Printed weighing ticket for pickup plan
weigh_loaded_trucktr35;tr35;Truck weighed
eval_trs_exittr4_Pcp6;tr4;Exit evaluation for truck
assign_trs_Pcp10;tr10;Pickup plan trucks assignment
weigh_loaded_trucktr48;tr48;Truck weighed
input_tally_sheettr25;tr25;Tally Sheet for pickup plan
print_w_tickettr25;tr25;Printed weighing ticket for pickup plan
print_w_tickettr35;tr35;Printed weighing ticket for pickup plan
input_tally_sheettr35;tr35;Tally Sheet for pickup plan
assign_trs_Pcp8;tr49;Pickup plan trucks assignment
assign_trs_Pcp2;tr44;Pickup plan trucks assignment
weigh_loaded_trucktr19;tr19;Truck weighed
print_w_tickettr2;tr2;Printed weighing ticket for pickup plan
input_tally_sheettr2;tr2;Tally Sheet for pickup plan
eval_trs_exittr46_Pcp6;tr46;Exit evaluation for truck
print_w_tickettr15;tr15;Printed weighing ticket for pickup plan
input_tally_sheettr15;tr15;Tally Sheet for pickup plan
eval_trs_exittr2_Pcp6;tr2;Exit evaluation for truck
weigh_empty_trucktr7;tr7;Truck weighed
eval_trs_exittr15_Pcp6;tr15;Exit evaluation for truck
eval_trs_exittr25_Pcp6;tr25;Exit evaluation for truck
eval_trs_exittr35_Pcp6;tr35;Exit evaluation for truck
assign_trs_Pcp3;tr42;Pickup plan trucks assignment
weigh_loaded_trucktr21;tr21;Truck weighed
assign_trs_Pcp1;tr11;Pickup plan trucks assignment
input_tally_sheettr19;tr19;Tally Sheet for pickup plan
print_w_tickettr19;tr19;Printed weighing ticket for pickup plan
eval_trs_exittr19_Pcp1;tr19;Exit evaluation for truck
load_trucktr7;tr7;cargo load for truck
weigh_loaded_trucktr41;tr41;Truck weighed
weigh_loaded_trucktr26;tr26;Truck weighed
assign_trs_Pcp2;tr25;Pickup plan trucks assignment
assign_trs_Pcp5;tr46;Pickup plan trucks assignment
weigh_loaded_trucktr24;tr24;Truck weighed
assign_trs_Pcp9;tr32;Pickup plan trucks assignment
input_tally_sheettr26;tr26;Tally Sheet for pickup plan
print_w_tickettr26;tr26;Printed weighing ticket for pickup plan
weigh_loaded_trucktr3;tr3;Truck weighed
assign_trs_Pcp2;tr35;Pickup plan trucks assignment
input_tally_sheettr48;tr48;Tally Sheet for pickup plan
print_w_tickettr48;tr48;Printed weighing ticket for pickup plan
input_tally_sheettr41;tr41;Tally Sheet for pickup plan
print_w_tickettr41;tr41;Printed weighing ticket for pickup plan
weigh_loaded_trucktr12;tr12;Truck weighed
input_tally_sheettr3;tr3;Tally Sheet for pickup plan
print_w_tickettr3;tr3;Printed weighing ticket for pickup plan
assign_trs_Pcp10;tr2;Pickup plan trucks assignment
print_w_tickettr21;tr21;Printed weighing ticket for pickup plan
input_tally_sheettr21;tr21;Tally Sheet for pickup plan
weigh_loaded_trucktr22;tr22;Truck weighed
input_tally_sheettr24;tr24;Tally Sheet for pickup plan
print_w_tickettr24;tr24;Printed weighing ticket for pickup plan
eval_trs_exittr48_Pcp6;tr48;Exit evaluation for truck
weigh_empty_trucktr16;tr16;Truck weighed
eval_trs_exittr26_Pcp6;tr26;Exit evaluation for truck
input_tally_sheettr27;tr27;Tally Sheet for pickup plan
print_w_tickettr27;tr27;Printed weighing ticket for pickup plan
print_w_tickettr28;tr28;Printed weighing ticket for pickup plan
input_tally_sheettr28;tr28;Tally Sheet for pickup plan
weigh_empty_trucktr25;tr25;Truck weighed
eval_trs_exittr3_Pcp1;tr3;Exit evaluation for truck
load_trucktr25;tr25;cargo load for truck
eval_trs_exittr21_Pcp6;tr21;Exit evaluation for truck
load_trucktr16;tr16;cargo load for truck
weigh_loaded_trucktr33;tr33;Truck weighed
weigh_empty_trucktr49;tr49;Truck weighed
eval_trs_exittr41_Pcp6;tr41;Exit evaluation for truck
eval_trs_exittr28_Pcp1;tr28;Exit evaluation for truck
assign_trs_Pcp3;tr4;Pickup plan trucks assignment
weigh_loaded_trucktr29;tr29;Truck weighed
eval_trs_exittr27_Pcp1;tr27;Exit evaluation for truck
load_trucktr49;tr49;cargo load for truck
eval_trs_exittr24_Pcp1;tr24;Exit evaluation for truck
weigh_loaded_trucktr9;tr9;Truck weighed
weigh_empty_trucktr46;tr46;Truck weighed
print_w_tickettr33;tr33;Printed weighing ticket for pickup plan
input_tally_sheettr33;tr33;Tally Sheet for pickup plan
print_w_tickettr12;tr12;Printed weighing ticket for pickup plan
input_tally_sheettr12;tr12;Tally Sheet for pickup plan
assign_trs_Pcp1;tr15;Pickup plan trucks assignment
