IoT_object_id,Object_id,IoT2O_qualifier,Timestamp
WS10,tr32,Weight sensor measuring empty truck weight,2024-05-02 15:53:16
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 15:55:16
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 15:55:16
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 15:55:16
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 15:55:16
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 15:55:16
WS19,tr33,Weight sensor measuring empty truck weight,2024-05-02 15:58:08
WS05,tr50,Weight sensor measuring empty truck weight,2024-05-02 16:10:18
WS01,tr24,Weight sensor measuring empty truck weight,2024-05-02 16:26:43
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 16:27:03
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 16:27:03
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 16:27:03
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 16:27:03
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 16:27:03
WS15,tr15,Weight sensor measuring empty truck weight,2024-05-02 16:49:20
WS12,tr7,Weight sensor measuring empty truck weight,2024-05-02 16:50:07
WS09,tr2,Weight sensor measuring empty truck weight,2024-05-02 17:09:50
WS11,tr12,Weight sensor measuring empty truck weight,2024-05-02 17:57:24
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 18:50:40
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 18:50:40
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 18:50:40
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 18:50:40
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 18:50:40
WS18,tr3,Weight sensor measuring empty truck weight,2024-05-02 18:51:47
WS03,tr29,Weight sensor measuring empty truck weight,2024-05-03 07:47:37
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 08:01:56
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 08:01:56
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 08:01:56
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 08:01:56
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 08:01:56
WS07,tr19,Weight sensor measuring empty truck weight,2024-05-03 08:23:16
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-03 08:25:28
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-03 08:25:28
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-03 08:25:28
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-03 08:25:28
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-03 08:25:28
WS20,tr41,Weight sensor measuring empty truck weight,2024-05-03 09:45:09
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 09:52:04
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 09:52:04
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 09:52:04
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 09:52:04
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 09:52:04
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 09:52:06
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 09:52:06
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 09:52:06
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 09:52:06
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 09:52:06
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-03 09:59:20
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-03 09:59:20
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-03 09:59:20
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-03 09:59:20
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-03 09:59:20
WS09,tr47,Weight sensor measuring empty truck weight,2024-05-03 10:07:02
WS17,tr39,Weight sensor measuring empty truck weight,2024-05-03 10:32:30
WS04,tr17,Weight sensor measuring empty truck weight,2024-05-03 10:43:50
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 10:44:34
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 10:44:34
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 10:44:34
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 10:44:34
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 10:44:34
WS13,tr46,Weight sensor measuring empty truck weight,2024-05-03 10:47:27
WS05,tr43,Weight sensor measuring empty truck weight,2024-05-03 11:33:37
WS07,tr13,Weight sensor measuring empty truck weight,2024-05-03 11:55:49
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 14:01:36
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 14:01:36
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 14:01:36
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 14:01:36
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 14:01:36
WS06,tr22,Weight sensor measuring empty truck weight,2024-05-03 14:25:49
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-03 14:25:53
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-03 14:25:53
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-03 14:25:53
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-03 14:25:53
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-03 14:25:53
WS02,tr35,Weight sensor measuring loaded truck weight,2024-05-03 14:48:04
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-03 15:32:00
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-03 15:32:00
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-03 15:32:00
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-03 15:32:00
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-03 15:32:00
WS17,tr11,Weight sensor measuring empty truck weight,2024-05-03 15:46:18
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 16:09:42
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 16:09:42
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 16:09:42
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 16:09:42
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 16:09:42
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-03 16:15:05
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-03 16:15:05
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-03 16:15:05
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-03 16:15:05
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-03 16:15:05
WS10,tr6,Weight sensor measuring empty truck weight,2024-05-03 16:40:59
WS14,tr38,Weight sensor measuring loaded truck weight,2024-05-03 16:51:56
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-03 17:02:34
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-03 17:02:34
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-03 17:02:34
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-03 17:02:34
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-03 17:02:34
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-03 18:00:09
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-03 18:00:09
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-03 18:00:09
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-03 18:00:09
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-03 18:00:09
WS12,tr16,Weight sensor measuring loaded truck weight,2024-05-03 18:13:13
WS05,tr18,Weight sensor measuring empty truck weight,2024-05-06 07:40:49
WS03,tr21,Weight sensor measuring loaded truck weight,2024-05-06 08:16:37
WS07,tr44,Weight sensor measuring loaded truck weight,2024-05-06 08:22:12
WS08,tr48,Weight sensor measuring empty truck weight,2024-05-06 08:36:01
WS16,tr9,Weight sensor measuring loaded truck weight,2024-05-06 09:20:18
WS16,tr20,Weight sensor measuring empty truck weight,2024-05-06 09:40:10
WS15,tr25,Weight sensor measuring loaded truck weight,2024-05-06 09:48:54
WS15,tr14,Weight sensor measuring empty truck weight,2024-05-06 10:36:49
WS02,tr1,Weight sensor measuring empty truck weight,2024-05-06 10:46:46
WS18,tr10,Weight sensor measuring loaded truck weight,2024-05-06 10:52:53
WS09,tr4,Weight sensor measuring loaded truck weight,2024-05-06 10:59:19
WS10,tr8,Weight sensor measuring loaded truck weight,2024-05-06 11:10:44
WS18,tr27,Weight sensor measuring loaded truck weight,2024-05-06 11:11:06
WS12,tr15,Weight sensor measuring empty truck weight,2024-05-06 11:38:59
WS04,tr12,Weight sensor measuring loaded truck weight,2024-05-06 11:40:32
WS06,tr34,Weight sensor measuring empty truck weight,2024-05-06 11:42:37
Temp6,Silo6,Temperature sensor measuring silo temperature,2024-05-06 11:49:38
Humd6,Silo6,Humidity sensor measuring silo humidity,2024-05-06 11:49:38
GrainTemp16,Silo6,1st Grain Termperature sensor located in the silo,2024-05-06 11:49:38
GrainTemp17,Silo6,2nd Grain Termperature sensor located in the silo,2024-05-06 11:49:38
GrainTemp18,Silo6,3rd Grain Termperature sensor located in the silo,2024-05-06 11:49:38
WS13,tr45,Weight sensor measuring loaded truck weight,2024-05-06 11:51:49
WS07,tr37,Weight sensor measuring empty truck weight,2024-05-06 12:05:20
WS10,tr30,Weight sensor measuring empty truck weight,2024-05-06 12:08:12
WS19,tr23,Weight sensor measuring empty truck weight,2024-05-06 13:23:21
WS03,tr40,Weight sensor measuring loaded truck weight,2024-05-06 13:35:13
WS03,tr32,Weight sensor measuring empty truck weight,2024-05-06 13:56:58
Temp11,Silo11,Temperature sensor measuring silo temperature,2024-05-06 13:58:07
Humd11,Silo11,Humidity sensor measuring silo humidity,2024-05-06 13:58:07
GrainTemp31,Silo11,1st Grain Termperature sensor located in the silo,2024-05-06 13:58:07
GrainTemp32,Silo11,2nd Grain Termperature sensor located in the silo,2024-05-06 13:58:07
GrainTemp33,Silo11,3rd Grain Termperature sensor located in the silo,2024-05-06 13:58:07
WS06,tr46,Weight sensor measuring empty truck weight,2024-05-06 14:21:05
WS16,tr42,Weight sensor measuring empty truck weight,2024-05-06 14:24:17
WS08,tr7,Weight sensor measuring empty truck weight,2024-05-06 14:40:09
WS04,tr3,Weight sensor measuring empty truck weight,2024-05-06 14:42:17
WS11,tr26,Weight sensor measuring loaded truck weight,2024-05-06 14:50:01
Temp17,Silo17,Temperature sensor measuring silo temperature,2024-05-06 14:59:15
Humd17,Silo17,Humidity sensor measuring silo humidity,2024-05-06 14:59:15
GrainTemp49,Silo17,1st Grain Termperature sensor located in the silo,2024-05-06 14:59:15
GrainTemp50,Silo17,2nd Grain Termperature sensor located in the silo,2024-05-06 14:59:15
GrainTemp51,Silo17,3rd Grain Termperature sensor located in the silo,2024-05-06 14:59:15
